Sigla OACI,Nome Empresas,Nacional ou Estrangeira
OCA,N«O INFORMADO,N«O INFORMADO
ONE,AVIANCA BRASIL,BRASILEIRA
PAC,POLAR AIR CARGO INC.,ESTRANGEIRA
PAM,MAP LINHAS AEREAS,BRASILEIRA
PEP,PENTA,BRASILEIRA
PLI,AEROPERU EMP.T.A.DEL PERU,ESTRANGEIRA
PLY,PUMA AIR,BRASILEIRA
PTB,PASSAREDO,BRASILEIRA
PTN,PANTANAL,BRASILEIRA
PUA,PLUNA,ESTRANGEIRA
QTR,QATAR AIRWAYS,ESTRANGEIRA
RAM,N«O INFORMADO,N«O INFORMADO
RDN,DINAR LôNEAS AêREAS,ESTRANGEIRA
RIO,RIO LINHAS AEREAS,BRASILEIRA
RLE,RICO,BRASILEIRA
RLR,N«O INFORMADO,N«O INFORMADO
ROI,AVIOR AIRLINES CA,ESTRANGEIRA
RSL,RIO SUL,BRASILEIRA
RSU,CIA BOLIVIANA DE TRASNP. AEREO,ESTRANGEIRA
RZO,SATA INTERNACIONAL - SERVIÄOS E TRANSPORTES AêREOS S.A.,ESTRANGEIRA
SAA,SOUTH ÊFRICAN AIRWAYS,ESTRANGEIRA
SAB,N«O INFORMADO,N«O INFORMADO
SBA,SOL,BRASILEIRA
SIA,SINGAPORE AIRLINES,ESTRANGEIRA
SKC,SKYMASTER ,BRASILEIRA
SKX,N«O INFORMADO,N«O INFORMADO
SLM,SURINAM AIRWAYS,ESTRANGEIRA
SLX,SETE,BRASILEIRA
STU,N«O INFORMADO,N«O INFORMADO
SUL,AMêRICA DO SUL LINHAS AêREAS,BRASILEIRA
SWR,SWISSAIR,ESTRANGEIRA
T7B,N«O INFORMADO,N«O INFORMADO
T9B,N«O INFORMADO,N«O INFORMADO
TAB,TABA,BRASILEIRA
TAE,N«O INFORMADO,N«O INFORMADO
TAM,TAM,BRASILEIRA
TAP,TAP AIR PORTUGAL,ESTRANGEIRA
TBA,TRANSBRASIL,BRASILEIRA
TCJ,N«O INFORMADO,N«O INFORMADO
TCV,EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.,ESTRANGEIRA
THY,TURKISH AIRLINES INC.,ESTRANGEIRA
TIB,TRIP,BRASILEIRA
TIM,TEAM,BRASILEIRA
TIN,N«O INFORMADO,N«O INFORMADO
TIO,N«O INFORMADO,N«O INFORMADO
TLL,N«O INFORMADO,N«O INFORMADO
TOB,N«O INFORMADO,N«O INFORMADO
TPA,TAMPA S/A,ESTRANGEIRA
TPE,TRANSPORTES AEREOS PRESIDENTE S.A,BRASILEIRA
TPU,TRASAMERICA  AIRLINES-TACAPERU,ESTRANGEIRA
TSD,TAF ,BRASILEIRA
TTL,TOTAL,BRASILEIRA
TU4,N«O INFORMADO,N«O INFORMADO
TU6,N«O INFORMADO,N«O INFORMADO
TUI,N«O INFORMADO,N«O INFORMADO
TUS,ABSA,BRASILEIRA
TVJ,TAVAJ,BRASILEIRA
UAE,EMIRATES,ESTRANGEIRA
UAL,UNITED AIRLINES,ESTRANGEIRA
UPS,UNITED PARCEL SERVICE,ESTRANGEIRA
UVG,N«O INFORMADO,N«O INFORMADO
VBR,N«O INFORMADO,N«O INFORMADO
VCR,CRUISER,BRASILEIRA
VLO,VARIG LOG,BRASILEIRA
VRG,VRG LINHAS AêREAS,BRASILEIRA
VRN,VRG LINHAS AEREAS,BRASILEIRA
VSO,N«O INFORMADO,N«O INFORMADO
VSP,VASP,BRASILEIRA
WEB,WEBJET,BRASILEIRA
